Year,FIPS,0-19,20+,Suppressed,Unknown,Total
2008,04013,5.0,0.0,3.0,0.0,8.0
2008,06001,0.0,0.0,6.0,0.0,6.0
2008,06023,0.0,0.0,6.0,0.0,6.0
2008,06037,0.0,0.0,5.0,0.0,5.0
2008,06045,0.0,0.0,9.0,0.0,9.0
2008,06075,0.0,0.0,5.0,0.0,5.0
2008,06097,0.0,7.0,2.0,0.0,9.0
2008,09001,214.0,314.0,2.0,0.0,530.0
2008,09003,114.0,177.0,0.0,0.0,291.0
2008,09005,43.0,129.0,0.0,0.0,172.0
2008,09007,76.0,119.0,0.0,0.0,195.0
2008,09009,99.0,294.0,0.0,0.0,393.0
2008,09011,69.0,217.0,0.0,0.0,286.0
2008,09013,64.0,209.0,0.0,0.0,273.0
2008,09015,24.0,96.0,1.0,0.0,121.0
2008,10001,24.0,91.0,4.0,0.0,119.0
2008,10003,101.0,418.0,0.0,0.0,519.0
2008,10005,7.0,93.0,4.0,0.0,104.0
2008,11001,12.0,62.0,0.0,0.0,74.0
2008,12083,0.0,0.0,5.0,0.0,5.0
2008,12086,0.0,5.0,2.0,0.0,7.0
2008,12099,0.0,7.0,1.0,0.0,8.0
2008,12103,0.0,7.0,1.0,0.0,8.0
2008,12109,0.0,0.0,5.0,0.0,5.0
2008,12115,0.0,10.0,1.0,0.0,11.0
2008,17031,6.0,10.0,5.0,0.0,21.0
2008,17043,6.0,6.0,5.0,0.0,17.0
2008,17085,0.0,6.0,1.0,0.0,7.0
2008,17089,0.0,0.0,5.0,0.0,5.0
2008,17097,0.0,0.0,5.0,0.0,5.0
2008,17141,0.0,0.0,5.0,0.0,5.0
2008,17197,0.0,5.0,2.0,0.0,7.0
2008,18127,0.0,0.0,5.0,0.0,5.0
2008,18141,0.0,0.0,6.0,0.0,6.0
2008,19043,0.0,10.0,0.0,0.0,10.0
2008,19045,0.0,0.0,5.0,0.0,5.0
2008,19061,0.0,0.0,7.0,0.0,7.0
2008,19095,0.0,5.0,0.0,0.0,5.0
2008,19103,6.0,10.0,0.0,0.0,16.0
2008,19113,0.0,0.0,5.0,0.0,5.0
2008,19139,0.0,0.0,5.0,0.0,5.0
2008,19153,0.0,7.0,0.0,0.0,7.0
2008,19163,0.0,0.0,5.0,0.0,5.0
2008,19191,0.0,7.0,0.0,0.0,7.0
2008,23001,9.0,24.0,3.0,0.0,36.0
2008,23005,80.0,148.0,0.0,0.0,228.0
2008,23009,0.0,8.0,2.0,0.0,10.0
2008,23011,32.0,82.0,0.0,0.0,114.0
2008,23013,11.0,61.0,0.0,0.0,72.0
2008,23015,6.0,31.0,2.0,0.0,39.0
2008,23017,0.0,16.0,5.0,0.0,21.0
2008,23019,0.0,0.0,13.0,0.0,13.0
2008,23023,5.0,31.0,4.0,0.0,40.0
2008,23025,0.0,0.0,5.0,0.0,5.0
2008,23027,0.0,14.0,5.0,0.0,19.0
