Year,FIPS,Confirmed,Probable,Total
2008,04013,2.0,6.0,8.0
2008,06001,6.0,0.0,6.0
2008,06023,6.0,0.0,6.0
2008,06037,5.0,0.0,5.0
2008,06045,9.0,0.0,9.0
2008,06075,5.0,0.0,5.0
2008,06097,9.0,0.0,9.0
2008,09001,399.0,131.0,530.0
2008,09003,251.0,40.0,291.0
2008,09005,123.0,49.0,172.0
2008,09007,144.0,51.0,195.0
2008,09009,305.0,88.0,393.0
2008,09011,195.0,91.0,286.0
2008,09013,225.0,48.0,273.0
2008,09015,80.0,41.0,121.0
2008,10001,119.0,0.0,119.0
2008,10003,519.0,0.0,519.0
2008,10005,104.0,0.0,104.0
2008,11001,71.0,3.0,74.0
2008,12083,5.0,0.0,5.0
2008,12086,5.0,2.0,7.0
2008,12099,7.0,1.0,8.0
2008,12103,6.0,2.0,8.0
2008,12109,4.0,1.0,5.0
2008,12115,7.0,4.0,11.0
2008,17031,21.0,0.0,21.0
2008,17043,17.0,0.0,17.0
2008,17085,7.0,0.0,7.0
2008,17089,5.0,0.0,5.0
2008,17097,5.0,0.0,5.0
2008,17141,5.0,0.0,5.0
2008,17197,7.0,0.0,7.0
2008,18127,5.0,0.0,5.0
2008,18141,6.0,0.0,6.0
2008,19043,8.0,2.0,10.0
2008,19045,4.0,1.0,5.0
2008,19061,5.0,2.0,7.0
2008,19095,5.0,0.0,5.0
2008,19103,11.0,5.0,16.0
2008,19113,4.0,1.0,5.0
2008,19139,5.0,0.0,5.0
2008,19153,6.0,1.0,7.0
2008,19163,3.0,2.0,5.0
2008,19191,5.0,2.0,7.0
2008,23001,30.0,6.0,36.0
2008,23005,202.0,26.0,228.0
2008,23009,8.0,2.0,10.0
2008,23011,98.0,16.0,114.0
2008,23013,64.0,8.0,72.0
2008,23015,36.0,3.0,39.0
2008,23017,18.0,3.0,21.0
2008,23019,10.0,3.0,13.0
2008,23023,35.0,5.0,40.0
2008,23025,4.0,1.0,5.0
2008,23027,17.0,2.0,19.0
2008,23031,238.0,50.0,288.0
